h_rule,h_no,t_rule,t_no,reference
V13,sum,V37,sum,0.778
V13,sum,V36,sum,0.91
V13,sum,V35,sum,0.402
V13,sum,V34,sum,0.428
V13,sum,V33,sum,0.384
V13,sum,V32,sum,0.39
V13,sum,V31,sum,0.748
V13,sum,V30,sum,0.9520000000000001
V13,sum,V3,sum,0.848
V13,sum,V29,sum,0.862
V13,sum,V28,sum,0.8480000000000001
V13,sum,V27,sum,0.92
V13,sum,V26,sum,0.9440000000000001
V13,sum,V25,sum,0.908
V13,sum,V24,sum,0.902
V13,sum,V23,sum,0.8380000000000001
V13,sum,V22,sum,0.756
V13,sum,V21,sum,0.698
V13,sum,V20,sum,0.9480000000000001
V13,sum,V2,sum,0.728
V13,sum,V19,sum,0.346
V13,sum,V18,sum,0.336
V13,sum,V17,sum,0.934
V13,sum,V15,sum,0.334
V13,sum,V14,sum,0.8960000000000001
V12,sum,V9,sum,0.408
V12,sum,V8,sum,0.396
V12,sum,V7,sum,0.398
V12,sum,V6,sum,0.724
V12,sum,V5,sum,0.402
V12,sum,V37,sum,0.44
V12,sum,V36,sum,0.442
V12,sum,V35,sum,0.398
V12,sum,V34,sum,0.414
V12,sum,V33,sum,0.374
V12,sum,V32,sum,0.384
V12,sum,V31,sum,0.304
V12,sum,V30,sum,0.754
V12,sum,V3,sum,0.39
V12,sum,V29,sum,0.384
V12,sum,V28,sum,0.378
V12,sum,V27,sum,0.724
V12,sum,V26,sum,0.746
V12,sum,V25,sum,0.42
V12,sum,V24,sum,0.414
V12,sum,V23,sum,0.368
V12,sum,V22,sum,0.314
V12,sum,V20,sum,0.752
V12,sum,V17,sum,0.74
V12,sum,V14,sum,0.426
V12,sum,V13,sum,0.428
V11,sum,V9,sum,0.862
V11,sum,V8,sum,0.882
V11,sum,V7,sum,0.876
V11,sum,V6,sum,0.906
V11,sum,V5,sum,0.882
V11,sum,V4,sum,0.65
V11,sum,V37,sum,0.774
V11,sum,V36,sum,0.946
V11,sum,V35,sum,0.696
V11,sum,V34,sum,0.718
V11,sum,V33,sum,0.662
V11,sum,V32,sum,0.676
V11,sum,V31,sum,0.756
V11,sum,V30,sum,0.948
V11,sum,V3,sum,0.844
V11,sum,V29,sum,0.864
V11,sum,V28,sum,0.854
V11,sum,V27,sum,0.918
V11,sum,V26,sum,0.942
V11,sum,V25,sum,0.91
V11,sum,V24,sum,0.902
V11,sum,V23,sum,0.844
V11,sum,V22,sum,0.766
V11,sum,V21,sum,0.71
V11,sum,V20,sum,0.944
V11,sum,V2,sum,0.742
V11,sum,V19,sum,0.682
V11,sum,V18,sum,0.63
V11,sum,V17,sum,0.93
V11,sum,V16,sum,0.696
V11,sum,V15,sum,0.658
V11,sum,V14,sum,0.95
V11,sum,V13,sum,0.906
V11,sum,V12,sum,0.44
V10,sum,V9,sum,0.41
V10,sum,V6,sum,0.438
V10,sum,V4,sum,0.334
V10,sum,V37,sum,0.33
V10,sum,V36,sum,0.44
V10,sum,V31,sum,0.362
V10,sum,V30,sum,0.462
V10,sum,V3,sum,0.424
V10,sum,V29,sum,0.426
V10,sum,V28,sum,0.42
V10,sum,V27,sum,0.448
V10,sum,V26,sum,0.456
V10,sum,V25,sum,0.448
V10,sum,V24,sum,0.448
V10,sum,V23,sum,0.424
V10,sum,V22,sum,0.388
V10,sum,V21,sum,0.366
V10,sum,V20,sum,0.456
V10,sum,V2,sum,0.374
V10,sum,V19,sum,0.35
V10,sum,V18,sum,0.328
V10,sum,V17,sum,0.446
V10,sum,V15,sum,0.346
V10,sum,V14,sum,0.328
V10,sum,V11,sum,0.438
V1,sum,V9,sum,0.718
V1,sum,V8,sum,0.724
V1,sum,V7,sum,0.73
V1,sum,V6,sum,0.762
V1,sum,V5,sum,0.732
V1,sum,V4,sum,0.662
V1,sum,V37,sum,0.646
V1,sum,V36,sum,0.762
V1,sum,V35,sum,0.558
V1,sum,V34,sum,0.584
V1,sum,V33,sum,0.538
V1,sum,V32,sum,0.548
V1,sum,V31,sum,0.626
V1,sum,V30,sum,0.792
V1,sum,V3,sum,0.706
V1,sum,V29,sum,0.754
V1,sum,V28,sum,0.708
V1,sum,V27,sum,0.79
V1,sum,V26,sum,0.792
V1,sum,V25,sum,0.792
V1,sum,V24,sum,0.792
V1,sum,V23,sum,0.792
V1,sum,V22,sum,0.788
V1,sum,V21,sum,0.728
V1,sum,V20,sum,0.788
V1,sum,V2,sum,0.744
V1,sum,V19,sum,0.698
V1,sum,V18,sum,0.644
V1,sum,V17,sum,0.774
V1,sum,V16,sum,0.31
V1,sum,V15,sum,0.676
V1,sum,V14,sum,0.792
V1,sum,V13,sum,0.746
V1,sum,V12,sum,0.31
V1,sum,V11,sum,0.758
V1,sum,V10,sum,0.384
