"rules","support","confidence","lift"
"41","{V7*1} => {V11*1}",0.362,0.947643979057592,0.99751997795536
"42","{V7*1} => {V36*1}",0.362,0.947643979057592,0.993337504253241
"43","{V7*1} => {V6*1}",0.372,0.973821989528796,1.02077776680167
"44","{V7*1} => {V25*2}",0.374,0.979057591623037,1.02626581931136
"45","{V7*1} => {V27*1}",0.376,0.984293193717278,1.01893705353755
"46","{V7*1} => {V17*1}",0.38,0.994764397905759,1.01506571214873
"47","{V7*1} => {V26*1}",0.38,0.994764397905759,1.00481252313713
"48","{V7*1} => {V20*1}",0.382,1,1.00603621730382
"49","{V7*1} => {V30*1}",0.38,0.994764397905759,0.996757913733226
"50","{V14*0} => {V13*1}",0.34,0.871794871794872,2.2239665096808
"51","{V13*1} => {V14*0}",0.34,0.86734693877551,2.2239665096808
"52","{V14*0} => {V8*1}",0.32,0.82051282051282,2.07200207200207
"53","{V8*1} => {V14*0}",0.32,0.808080808080808,2.07200207200207
"54","{V14*0} => {V5*1}",0.332,0.851282051282051,2.14970214970215
"55","{V5*1} => {V14*0}",0.332,0.838383838383838,2.14970214970215
"56","{V14*0} => {V18*1}",0.344,0.882051282051282,1.34050346816304
"57","{V14*0} => {V4*2}",0.35,0.897435897435897,1.31975867269985
"58","{V14*0} => {V15*1}",0.348,0.892307692307692,1.29319955406912
"59","{V14*0} => {V19*1}",0.35,0.897435897435897,1.2569130216189
"60","{V14*0} => {V21*2}",0.366,0.938461538461538,1.26477296288617
"61","{V14*0} => {V2*2}",0.368,0.943589743589744,1.2222665072406
"62","{V14*0} => {V1*2}",0.368,0.943589743589744,1.19140119140119
"63","{V14*0} => {V31*1}",0.384,0.984615384615385,1.24006975392366
"64","{V14*0} => {V22*2}",0.372,0.953846153846154,1.18933435641665
"65","{V14*0} => {V37*1}",0.316,0.81025641025641,0.990533508870917
"66","{V14*0} => {V23*2}",0.376,0.964102564102564,1.09061376029702
"67","{V14*0} => {V3*1}",0.356,0.912820512820513,1.02564102564103
"68","{V14*0} => {V28*0}",0.388,0.994871794871795,1.11532712429573
"69","{V14*0} => {V29*0}",0.388,0.994871794871795,1.09809248882097
"70","{V14*0} => {V9*1}",0.352,0.902564102564103,0.994013328815091
"71","{V14*0} => {V24*1}",0.386,0.98974358974359,1.04403332251434
"72","{V14*0} => {V11*1}",0.37,0.948717948717949,0.998650472334683
"73","{V14*0} => {V36*1}",0.372,0.953846153846154,0.999838735687792
"74","{V14*0} => {V6*1}",0.376,0.964102564102564,1.01058968983497
"75","{V14*0} => {V25*2}",0.382,0.979487179487179,1.02671612105574
"76","{V14*0} => {V27*1}",0.39,1,1.0351966873706
"77","{V14*0} => {V17*1}",0.39,1,1.02040816326531
"78","{V14*0} => {V26*1}",0.388,0.994871794871795,1.004921004921
"79","{V14*0} => {V20*1}",0.39,1,1.00603621730382
"80","{V14*0} => {V30*1}",0.39,1,1.00200400801603
"81","{V13*1} => {V8*1}",0.364,0.928571428571429,2.34487734487734
"82","{V8*1} => {V13*1}",0.364,0.919191919191919,2.34487734487735
"83","{V13*1} => {V5*1}",0.38,0.969387755102041,2.44794887652031
"84","{V5*1} => {V13*1}",0.38,0.95959595959596,2.44794887652031
"85","{V13*1} => {V18*1}",0.336,0.857142857142857,1.30264871906209
"86","{V13*1} => {V4*2}",0.33,0.841836734693878,1.23799519807923
"87","{V13*1} => {V15*1}",0.334,0.852040816326531,1.23484176279207
